Județ;Localitate;Adresa;Tip;Latitudine;Longitudine;Capacitatea
BIF;Sector 1;Bd. Aerogării 2-8 Bl.  II/I, sc. A;privat;44,494091;26,080743;150
BIF;Sector 1;Bd. Aerogării 2-8 Bl.  II/I ,sc. B;privat;44,494118;26,080542;150
BIF;Sector 1;Bd. Aerogării 2-8 Bl.  II/I, sc. C;privat;44,494145;26,080244;150
BIF;Sector 1;Bd. Aerogării 2-8 Bl. II/I, scD;privat;44,494202;26,080013;150
BIF;Sector 1;Bd. Aerogării 2-8 Bl. II/I, sc. E;privat;44,494145;26,079836;150
BIF;Sector 1;Bd. Banu Manta 1 Bl. 1B, sc. A;privat;44,452962;26,073156;200
BIF;Sector 1;Bd. Buc. Noi 64 Bloc 7, sc. A+B;privat;44,485297;26,040166;170
BIF;Sector 1;Bd. Buc. Noi 64 Bl. 7, sc. E+F;privat;44,485123;26,039797;170
BIF;Sector 1;Bd. Buc. Noi 68 Bl. 8, sc. C+D;privat;44,486251;26,038935;150
BIF;Sector 1;Bd. Buc. Noi 68 Bl. 8, sc. E+F;privat;44,486395;26,039316;110
BIF;Sector 1;Bd. Buc. Noi 70 Bl. 11, sc. A+B;privat;44,487076;26,038113;170
BIF;Sector 1;Bd. Buc. Noi 70 Bl. 11, scC+D;privat;44,486693;26,038398;170
BIF;Sector 1;Bd. Ion Mihalache 42-52 Bl. 35, sc. B;privat;44,456934;26,079763;130
BIF;Sector 1;Bd. Ion Mihalache 42-52 Bl. 35, sc. C;privat;44,457063;26,079602;130
BIF;Sector 1;Bd. Ion Mihalache 42-52 Bl. 35, sc. F;privat;44,457508;26,079143;120
BIF;Sector 1;Bd. Ion Mihalache 58 Bl. 35, sc. A;privat;44,457958;26,078499;112
BIF;Sector 1;Bd. Ion Mihalache 106 Bl. 84, sc A;privat;44,461897;26,073375;110
BIF;Sector 1;Bd. Ion Mihalache 98 Bl. 44A1, scB;privat;44,461058;26,074423;150
BIF;Sector 1;Bd. Ion Mihalache 92 Bl. 44 A2, sc. A;privat;44,460486;26,075381;200
BIF;Sector 1;Bd. Ion Mihalache 96 Bl. 44 B, sc. A;privat;44,460845;26,074686;200
BIF;Sector 1;Bd. Magheru 24 Bloc Gradinita;privat;44,444038;26,097944;200
BIF;Sector 1;Bd. Rosetti 14 Bl. Scala, sc. A;privat;44,436121;26,106410;300
BIF;Sector 1;Bd. Magheru 26 Bl. Casata;privat;44,444939;26,098458;100
BIF;Sector 1;Calea Dorobanţilor 61-63 Bl. , sc. A;privat;44,450302;26,098861;150
BIF;Sector 1;Calea Dorobantilor 116-122 Bl. 6, sc. A;privat;44,455357;26,097866;85
BIF;Sector 1;Calea Dorobantilor 116-122 Bl. 6, sc. B;privat;44,455505;26,097779;85
BIF;Sector 1;Calea Dorobantilor 172-178 Bl. 16, sc. A;privat;44,458894;26,095533;200
BIF;Sector 1;Calea Dorobantilor 126-130 Bl. 8, sc. A;privat;44,455957;26,097437;150
BIF;Sector 1;Calea Dorobantilor 168 Bl. 15, sc. B;privat;44,458304;26,095889;200
BIF;Sector 1;Calea Dorobantilor 135-145 Bl. 10, sc. B;privat;44,456287;26,096804;200
BIF;Sector 1;Calea Dorobantilor 134-138 Bl. 11, sc. A+B;privat;44,456708;26,096985;200
BIF;Sector 1;Calea Dorobantilor 134-138 Bl. 11, sc. C;privat;44,456473;26,097206;200
BIF;Sector 1;Calea Dorobantilor 111-131 Bl. 9, sc. D;privat;44,454789;26,097362;90
BIF;Sector 1;Calea Dorobantilor 111-131 Bl. 9, sc. E;privat;44,455897;26,097041;90
BIF;Sector 1;Calea Dorobantilor 102-110 Bl. 2, sc. B;privat;44,454725;26,098195;75
BIF;Sector 1;Calea Dorobantilor 102-110 Bl. 2, sc. C;privat;44,454769;26,098245;75
BIF;Sector 1;Calea Dorobantilor 102-110 Bl. 2, sc. D;privat;44,454773;26,098219;75
BIF;Sector 1;Calea Grivitei 160 Bloc B, sc. A;privat;44,450424;26,070158;125
BIF;Sector 1;Sos. N. Titulescu 163 Bl. 20, sc. A;privat;44,450999;26,071080;150
BIF;Sector 1;Sos. N. Titulescu 92 Bl. 13, sc. 1+2;privat;44,452217;26,071357;203
BIF;Sector 1;Sos. N. Titulescu 94 Bl. 14, sc. 1+2;privat;44,451367;26,069972;208
BIF;Sector 1;Sos. N. Titulescu 80 Bl. 1A;privat;44,452643;26,072356;200
BIF;Sector 1;Sos. N. Titulescu 78 Bl. 1, sc. A;privat;44,452898;26,072636;150
BIF;Sector 1;Sos. N. Titulescu 93-103 Bl. 8, sc. A;privat;44,451966;26,076559;250
BIF;Sector 1;Sos. N. Titulescu 81-87 Bl. 10, sc. A;privat;44,451967;26,077373;100
BIF;Sector 1;Sos. N. Titulescu 81-87 Bl. 10, sc. B;privat;44,451860;26,077633;100
BIF;Sector 1;Sos. N. Titulescu 18 Bl. 23, sc. B;privat;44,452509;26,077555;100
BIF;Sector 1;Sos. N. Titulescu 10 Bl. 20, sc. A;privat;44,450761;26,070878;100
BIF;Sector 1;Sos. N. Titulescu 10 Bl.  20, sc. C;privat;44,451095;26,047134;100
BIF;Sector 1;Sos. N. Titulescu 14 Bl. 21, sc. A;privat;44,452483;26,078521;110
BIF;Sector 1;Sos. N. Titulescu 12 Bl. 21A, sc. A;privat;44,452515;26,079742;200
BIF;Sector 1;Sos. N. Titulescu 16 Bl. 22, sc. A;privat;44,452551;26,077967;175
BIF;Sector 1;Str. Aviator Dumitru Dorian 2 Bl. 23, sc. B;privat;44,462228;26,095476;85
BIF;Sector 1;Str. George Enescu 36-42 Bl. 6B, sc. B2 A1;privat;44,444742;26,099770;130
BIF;Sector 1;Str. George Enescu 36-42 Bl. 6A, sc. 2B;privat;44,444841;26,099969;130
BIF;Sector 1;Str. Hatma Arbore 3-7 Bl. 1A, sc. A;privat;44,454193;26,100465;150
BIF;Sector 1;Str. Mendeleev 7-15 Bl. C;privat;44,443628;26,096552;130
BIF;Sector 1;Str. Pache Protopopescu 2 Bl. 24, sc. B;privat;44,438332;26,117471;75
BIF;Sector 1;Str. Lt. Av. Radu Beller 6 Bl. 20, sc. B;privat;44,463457;26,095442;85
BIF;Sector 1;Str. Lt. Av. Radu Beller 8 Bl. 22, sc,C;privat;44,461707;26,094966;85
BIF;Sector 1;Str. Subcetate 72 Bl. 13, sc. B+C;privat;44,487803;26,038380;170
BIF;Sector 1;Str. Teodosie R. 3 Bl. 1C, sc. A;privat;44,453694;26,072824;175
BIF;Sector 1;Str. Turda 127 Bl. 2, sc. B;privat;44,275856;26,042179;100
